>python -u "runit.py"
./timeucds/ucds0
421.913788, 418.812225, 382.458588, 378.174286, 380.950592, 422.040436, 97.606865, 433.109802, 77.187386, 35.020596, 79.903122; 231.345230 - 231.973373 - 230.459366 - 233.545044 - 232.975739 - 233.986252 - 250.356552 - 250.080200 - 259.903748 - 258.261810 - 265.174591 - 265.423920 - 264.357605 - 265.083038 - 262.797058 - 263.562042 - 265.829926 - 268.746185 - 271.980591 - 270.797699 - 1048576
421.757172, 420.327454, 384.629028, 379.080170, 379.884460, 420.016022, 97.398560, 430.172089, 77.696304, 29.212732, 78.748573; 233.619141 - 232.054581 - 233.757050 - 231.969818 - 232.907211 - 231.154816 - 249.250641 - 248.461029 - 257.084991 - 257.433746 - 266.244324 - 263.835266 - 265.864014 - 263.507080 - 265.167725 - 263.782806 - 268.893494 - 266.731842 - 270.134247 - 268.762909 - 2097152
203.041580, 420.891663, 384.780304, 378.724091, 378.203766, 420.681610, 95.946999, 431.460571, 77.177017, 34.612877, 79.823959; 16.128307 - 134.981277 - 124.208023 - 50.800674 - 93.911911 - 138.087280 - 168.747665 - 141.628342 - 152.598816 - 161.215332 - 166.817780 - 171.694260 - 156.636642 - 152.915192 - 164.762268 - 134.758957 - 101.838058 - 267.851562 - 271.597046 - 234.144226 - 4194304
./timeucds/mpurucds0
1283.997437, 1279.030762, 1430.979492, 1276.077026, 1313.420410, 1492.038452, 337.146393, 12.194190, 6.333880, 5.912307, 6.338197; 142.403702 - 577.170715 - 128.804855 - 572.391235 - 119.126923 - 571.727051 - 168.782547 - 645.088745 - 180.903214 - 681.903870 - 177.733521 - 713.681152 - 179.551041 - 700.763184 - 164.677872 - 709.344238 - 198.984818 - 735.173889 - 214.466599 - 737.182068 - 16384
1412.036499, 1509.211548, 1743.015869, 1375.910645, 1233.419189, 1543.777954, 356.694427, 12.395998, 6.461624, 6.004382, 6.477530; 118.654457 - 544.115845 - 116.278641 - 544.058655 - 186.895386 - 535.414062 - 242.240417 - 571.084351 - 202.482056 - 656.401245 - 186.504578 - 710.474731 - 168.857742 - 729.093384 - 169.519287 - 720.831421 - 184.646454 - 739.983337 - 254.409851 - 753.512207 - 32768
1443.928101, 1555.200684, 1823.303467, 1460.122681, 1454.802124, 1574.869751, 360.735657, 11.166482, 6.490466, 5.934845, 6.519686; 107.766525 - 503.563812 - 144.951538 - 548.752808 - 134.039993 - 547.323975 - 230.741867 - 632.395447 - 210.786697 - 589.779602 - 222.601501 - 720.780457 - 226.820557 - 659.350037 - 198.307678 - 539.411560 - 232.022049 - 446.912750 - 280.065582 - 547.407043 - 65536
1455.080688, 1549.117554, 1811.706787, 1468.394775, 1453.779175, 1550.557007, 367.484406, 11.256683, 6.542218, 6.089056, 6.554198; 146.300400 - 542.305054 - 156.207977 - 541.234924 - 183.701691 - 542.339233 - 241.561829 - 621.732971 - 218.963699 - 667.779175 - 265.122833 - 597.550049 - 277.852051 - 686.609741 - 277.680969 - 709.999878 - 302.683533 - 730.183533 - 334.925476 - 733.842651 - 131072
1456.813599, 1553.117798, 1854.220215, 1459.237183, 1461.509766, 1595.807373, 367.891205, 11.139454, 6.593592, 6.140632, 6.589382; 180.471436 - 543.251831 - 170.391281 - 546.675476 - 195.461380 - 545.859192 - 245.911026 - 629.414856 - 263.461487 - 659.946533 - 311.063538 - 714.563782 - 305.606598 - 665.622986 - 330.877502 - 716.100281 - 354.364105 - 743.367981 - 374.908264 - 756.459778 - 262144
1455.541504, 1574.104492, 1843.268921, 1464.477051, 1469.910767, 1596.540161, 367.939575, 12.521688, 6.489549, 6.024467, 6.609793; 190.497223 - 528.747437 - 193.947845 - 544.575989 - 193.990616 - 542.475830 - 281.935425 - 622.343323 - 278.137939 - 648.146973 - 336.680969 - 634.506226 - 354.161682 - 716.187256 - 347.215149 - 716.607178 - 390.050812 - 730.581970 - 400.386658 - 687.825500 - 524288
1432.311279, 1571.087769, 1803.347656, 1433.600586, 1447.456055, 1586.480835, 368.110291, 11.498771, 6.616815, 6.098211, 6.626036; 204.818344 - 539.348389 - 200.104568 - 537.242004 - 208.482758 - 539.539795 - 308.681854 - 619.838440 - 329.013550 - 671.760498 - 368.819641 - 712.093933 - 370.774445 - 710.698914 - 377.185913 - 709.726929 - 402.340942 - 732.749329 - 419.221039 - 746.665710 - 1048576
1344.062500, 1502.758057, 1453.587036, 1331.780640, 1322.823975, 1576.320190, 366.362732, 12.247615, 6.597728, 6.115420, 6.615818; 205.957657 - 516.097351 - 205.665894 - 529.866577 - 210.940735 - 542.956299 - 308.876068 - 620.160156 - 313.059387 - 636.584900 - 370.618927 - 707.571533 - 371.676971 - 710.781067 - 366.873627 - 677.064758 - 390.705841 - 688.135254 - 405.080261 - 724.243408 - 2097152
137.462509, 1552.863281, 1515.567627, 1397.857544, 1396.779785, 1571.140991, 298.049896, 12.878256, 6.616086, 6.184839, 6.643991; 32.016445 - 54.664829 - 32.745808 - 53.669666 - 44.449486 - 65.260246 - 112.132767 - 59.523468 - 192.030533 - 57.405537 - 144.658386 - 679.805603 - 374.945801 - 638.511658 - 373.612030 - 685.317505 - 109.588806 - 55.361710 - 321.071930 - 711.800049 - 4194304
./timeucds/ucds3
2128.151611, 1269.821533, 2776.313965, 2347.093018, 2347.160156, 1270.107056, 346.272034, 1270.550293, 392.944092, 146.414352, 429.307343; 1973.212769 - 1971.704834 - 2007.540527 - 2017.398560 - 2002.811523 - 1971.951660 - 2065.613770 - 2056.983643 - 2080.097656 - 2086.436523 - 2098.669678 - 2086.901367 - 2099.633057 - 2103.014648 - 2105.324707 - 2101.270508 - 2111.360352 - 2008.402710 - 2101.262207 - 2092.264160 - 16384
3000.828857, 1270.185791, 3751.366699, 3033.357910, 3033.470215, 1270.215332, 345.947601, 1270.473877, 421.056946, 148.537186, 428.567047; 1691.581665 - 1801.643311 - 1868.319092 - 1833.377930 - 1849.877075 - 1761.814209 - 1792.583008 - 1848.933472 - 1747.654297 - 1805.951050 - 1821.689697 - 1795.135132 - 1770.598145 - 1798.921265 - 1853.358154 - 1845.453613 - 1877.212280 - 1859.648071 - 2043.843628 - 1871.949219 - 32768
2877.699219, 1242.825684, 3486.179932, 2995.493164, 2996.027344, 1270.126709, 343.897430, 1207.836548, 385.744812, 147.752106, 417.882172; 1775.510254 - 1772.785522 - 1767.135864 - 1845.920654 - 1798.151367 - 1832.988647 - 1878.308472 - 1873.855347 - 1806.363525 - 1791.154907 - 1821.795288 - 1808.910278 - 1809.208984 - 1810.187866 - 1777.084106 - 1791.718384 - 1830.275513 - 1838.527832 - 1866.533325 - 1868.044800 - 65536
